idade,recencia_dias,frequencia_compras,valor_total,ticket_medio,std_valor,dias_entre_compras,ticket_medio_rel,cliente_sem_compra,compras_beleza,compras_casa,compras_eletrônicos,compras_esportes,compras_moda,prop_compras_beleza,prop_compras_casa,prop_compras_eletrônicos,prop_compras_esportes,prop_compras_moda,genero_M,cidade_BSB,cidade_POA,cidade_RJ,cidade_SP,canal_aquisicao_Google,canal_aquisicao_Indicação,canal_aquisicao_Orgânico,metodo_preferido_Cartão,metodo_preferido_Pix
40,2057,7,2013.71,287.67,119.37,244,1.6742989855885326,0,1,1,1,3,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,False,False,False,True,False,True,False,False,True,False
33,2125,4,368.54,92.14,71.5,211,0.5362738851188076,0,3,0,0,0,1,0.75,0.0,0.0,0.0,0.25,False,False,False,True,False,True,False,False,True,False
42,2038,10,2396.42,239.64,205.7,298,1.3947544370509122,0,1,2,2,1,4,0.1,0.2,0.2,0.1,0.4,True,False,False,False,True,False,True,False,True,False
53,2127,5,959.47,191.89,151.75,218,1.11683954651018,0,0,3,0,0,2,0.0,0.6,0.0,0.0,0.4,True,False,False,False,False,False,False,True,False,False
32,1970,2,438.31,219.16,63.51,347,1.2755565949928138,0,0,1,1,0,0,0.0,0.5,0.5,0.0,0.0,True,False,False,False,False,False,False,True,True,False
32,1924,10,1371.8,137.18,91.81,417,0.7984160143325161,0,3,1,1,1,4,0.3,0.1,0.1,0.1,0.4,False,False,False,False,True,False,True,False,True,False
53,2150,6,1038.79,173.13,83.49,163,1.0076524607186799,0,0,2,2,1,1,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,False,False,False,True,False,False,False,True,True,False
44,2259,2,286.44,143.22,52.45,32,0.8335700654082442,0,1,0,0,0,1,0.5,0.0,0.0,0.0,0.5,True,False,False,True,False,True,False,False,False,False
29,2172,12,1288.49,107.37,120.74,165,0.6249156397352548,0,1,2,5,2,2,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.16666666666666666,False,False,False,True,False,True,False,False,True,False
41,2095,8,1328.31,166.04,85.41,246,0.9663871921546213,0,2,1,2,0,3,0.25,0.125,0.25,0.0,0.375,True,False,False,False,True,False,False,False,True,False
29,2162,9,1360.65,151.18,81.98,174,0.8798989141769192,0,1,1,3,0,4,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.4444444444444444,True,False,False,True,False,False,False,False,True,False
29,2210,5,460.6,92.12,62.36,125,0.5361574809761728,0,1,1,3,0,0,0.2,0.2,0.6,0.0,0.0,False,False,False,False,True,False,False,False,True,False
37,2231,5,645.79,129.16,63.5,102,0.7517379531359365,0,0,1,2,0,2,0.0,0.2,0.4,0.0,0.4,False,False,False,True,False,True,False,False,True,False
12,1910,10,1532.02,153.2,69.1,432,0.8916557325830401,0,2,0,4,1,3,0.2,0.0,0.4,0.1,0.3,False,False,False,False,False,True,False,False,True,False
14,2124,16,2933.47,183.34,124.88,217,1.0670767755337767,0,2,5,4,2,3,0.125,0.3125,0.25,0.125,0.1875,False,False,False,False,False,False,True,False,True,False
28,2228,6,680.68,113.45,61.32,117,0.6603024990962527,0,0,1,3,1,1,0.0,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,True,False,False,False,True,False,False,True,False,True
22,2046,4,682.98,170.74,56.85,269,0.9937421656738139,0,1,0,2,0,1,0.25,0.0,0.5,0.0,0.25,False,False,False,True,False,False,False,False,True,False
38,2052,6,915.94,152.66,138.44,281,0.888512820731899,0,0,4,1,0,1,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,False,False,True,False,False,True,False,False,True,False
24,2052,7,1506.36,215.19,95.4,259,1.2524503726797938,0,0,1,2,1,3,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,False,False,False,False,True,False,False,True,True,False
18,2078,6,715.67,119.28,82.72,257,0.6942343066743148,0,0,1,1,2,2,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,False,True,False,False,False,True,False,False,True,False
52,2293,1,162.64,162.64,0.0,0,0.9465984879066949,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,True,False,False,False,False,True,False,False,False,False
32,2122,7,903.94,129.13,125.8,219,0.7515633469219842,0,1,1,2,1,2,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,True,False,False,False,False,False,False,False,True,False
35,2151,6,983.59,163.93,102.56,194,0.9541065551066436,0,0,1,0,2,3,0.0,0.16666666666666666,0.0,0.3333333333333333,0.5,False,False,False,False,True,False,False,True,True,False
17,2098,7,1337.62,191.09,100.0,207,1.1121833808047856,0,0,1,2,3,1,0.0,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.14285714285714285,False,False,False,False,True,False,False,True,True,False
28,2120,8,1107.66,138.46,127.4,173,0.8058658794611472,0,2,2,3,0,1,0.25,0.25,0.375,0.0,0.125,True,False,True,False,False,False,True,False,True,False
36,2026,6,1257.22,209.54,84.62,307,1.2195662023854454,0,1,1,2,0,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,True,False,False,False,True,False,False,False,True,False
21,1859,9,1055.32,117.26,85.32,424,0.6824774882681939,0,2,2,0,2,3,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,False,False,False,False,True,False,False,False,True,False
