id_cliente,idade,genero,cidade,canal_aquisicao,churn,recencia_dias,frequencia_compras,valor_total,ticket_medio,std_valor,cliente_sem_compra,compras_beleza,compras_casa,compras_eletrônicos,compras_esportes,compras_moda,metodo_preferido,dias_entre_compras,prop_compras_beleza,prop_compras_casa,prop_compras_eletrônicos,prop_compras_esportes,prop_compras_moda,ticket_medio_rel,score_churn,segmento
1,40,F,RJ,Google,0,2057,7,2013.71,287.67,119.37,0,1,1,1,3,1,Cartão,244,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.4285714285714285,0.1428571428571428,1.6742989855885326,0.2912044405259245,Baixo
2,33,F,RJ,Google,0,2125,4,368.54,92.14,71.5,0,3,0,0,0,1,Cartão,211,0.75,0.0,0.0,0.0,0.25,0.5362738851188076,0.3752929504572767,Baixo
3,42,M,SP,Indicação,0,2038,10,2396.42,239.64,205.7,0,1,2,2,1,4,Cartão,298,0.1,0.2,0.2,0.1,0.4,1.3947544370509122,0.03410369927111782,Muito Baixo
4,53,M,BH,Orgânico,1,2127,5,959.47,191.89,151.75,0,0,3,0,0,2,Boleto,218,0.0,0.6,0.0,0.0,0.4,1.11683954651018,0.621898725057519,Alto
5,32,M,BH,Orgânico,1,1970,2,438.31,219.16,63.51,0,0,1,1,0,0,Cartão,347,0.0,0.5,0.5,0.0,0.0,1.2755565949928138,0.6647033991477002,Alto
6,32,F,SP,Indicação,0,1924,10,1371.8,137.18,91.81,0,3,1,1,1,4,Cartão,417,0.3,0.1,0.1,0.1,0.4,0.7984160143325161,0.06659016351560063,Muito Baixo
7,53,F,RJ,Orgânico,1,2150,6,1038.79,173.13,83.49,0,0,2,2,1,1,Cartão,163,0.0,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1666666666666666,1.00765246071868,0.5675729194209419,Médio
8,44,M,RJ,Google,1,2259,2,286.44,143.22,52.45,0,1,0,0,0,1,Boleto,32,0.5,0.0,0.0,0.0,0.5,0.8335700654082442,0.6618293784540871,Alto
9,29,F,RJ,Google,0,2172,12,1288.49,107.37,120.74,0,1,2,5,2,2,Cartão,165,0.0833333333333333,0.1666666666666666,0.4166666666666667,0.1666666666666666,0.1666666666666666,0.6249156397352548,0.20391185926603672,Baixo
10,41,M,SP,Facebook,0,2095,8,1328.31,166.04,85.41,0,2,1,2,0,3,Cartão,246,0.25,0.125,0.25,0.0,0.375,0.9663871921546212,0.37356378442879207,Baixo
11,29,M,RJ,Facebook,0,2162,9,1360.65,151.18,81.98,0,1,1,3,0,4,Cartão,174,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.4444444444444444,0.8798989141769192,0.1998443835125531,Muito Baixo
12,29,F,SP,Facebook,0,2210,5,460.6,92.12,62.36,0,1,1,3,0,0,Cartão,125,0.2,0.2,0.6,0.0,0.0,0.5361574809761728,0.42071023163416765,Médio
13,37,F,RJ,Google,1,2231,5,645.79,129.16,63.5,0,0,1,2,0,2,Cartão,102,0.0,0.2,0.4,0.0,0.4,0.7517379531359365,0.4876246407897312,Médio
14,12,F,BH,Google,1,1910,10,1532.02,153.2,69.1,0,2,0,4,1,3,Cartão,432,0.2,0.0,0.4,0.1,0.3,0.8916557325830401,0.10935413565650269,Muito Baixo
15,14,F,BH,Indicação,0,2124,16,2933.47,183.34,124.88,0,2,5,4,2,3,Cartão,217,0.125,0.3125,0.25,0.125,0.1875,1.0670767755337769,0.056540945982122476,Muito Baixo
16,28,M,SP,Orgânico,0,2228,6,680.68,113.45,61.32,0,0,1,3,1,1,Pix,117,0.0,0.1666666666666666,0.5,0.1666666666666666,0.1666666666666666,0.6603024990962527,0.40068870628326697,Médio
17,22,F,RJ,Facebook,1,2046,4,682.98,170.74,56.85,0,1,0,2,0,1,Cartão,269,0.25,0.0,0.5,0.0,0.25,0.993742165673814,0.43121248287455777,Médio
18,38,F,POA,Google,0,2052,6,915.94,152.66,138.44,0,0,4,1,0,1,Cartão,281,0.0,0.6666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.888512820731899,0.33901091211324474,Baixo
19,24,F,SP,Orgânico,0,2052,7,1506.36,215.19,95.4,0,0,1,2,1,3,Cartão,259,0.0,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.4285714285714285,1.2524503726797938,0.2532660579975957,Baixo
20,18,F,BSB,Google,0,2078,6,715.67,119.28,82.72,0,0,1,1,2,2,Cartão,257,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6942343066743148,0.41129454721631137,Médio
21,52,M,BH,Google,0,2293,1,162.64,162.64,0.0,0,0,0,0,0,1,Boleto,0,0.0,0.0,0.0,0.0,1.0,0.9465984879066948,0.448560197961069,Médio
22,32,M,BH,Facebook,0,2122,7,903.94,129.13,125.8,0,1,1,2,1,2,Cartão,219,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.7515633469219842,0.4591391679353351,Médio
23,35,F,SP,Orgânico,0,2151,6,983.59,163.93,102.56,0,0,1,0,2,3,Cartão,194,0.0,0.1666666666666666,0.0,0.3333333333333333,0.5,0.9541065551066436,0.2708614726619356,Baixo
24,17,F,SP,Orgânico,0,2098,7,1337.62,191.09,100.0,0,0,1,2,3,1,Cartão,207,0.0,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.1428571428571428,1.1121833808047856,0.35721469408067885,Baixo
25,28,M,POA,Indicação,0,2120,8,1107.66,138.46,127.4,0,2,2,3,0,1,Cartão,173,0.25,0.25,0.375,0.0,0.125,0.8058658794611472,0.29606051838290093,Baixo
26,36,M,SP,Facebook,0,2026,6,1257.22,209.54,84.62,0,1,1,2,0,2,Cartão,307,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.2195662023854454,0.35814672855371055,Baixo
27,21,F,SP,Facebook,0,1859,9,1055.32,117.26,85.32,0,2,2,0,2,3,Cartão,424,0.2222222222222222,0.2222222222222222,0.0,0.2222222222222222,0.3333333333333333,0.6824774882681939,0.06558254938788993,Muito Baixo
28,39,M,RJ,Google,1,2255,3,143.01,47.67,43.46,0,0,2,0,1,0,Cartão,54,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.2774492739701927,0.5513420422423247,Médio
29,27,M,SP,Orgânico,1,2171,5,517.26,103.45,45.0,0,0,1,3,0,1,Boleto,171,0.0,0.2,0.6,0.0,0.2,0.6021004277788219,0.4538568170224852,Médio
30,31,M,BH,Indicação,0,2105,3,546.14,182.05,92.43,0,2,0,0,1,0,Cartão,236,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.059568708333828,0.24087935718772926,Baixo
31,27,M,RJ,Google,0,2238,6,717.36,119.56,183.16,0,0,1,2,0,3,Boleto,70,0.0,0.1666666666666666,0.3333333333333333,0.0,0.5,0.6958639646712029,0.29894687803504183,Baixo
32,57,F,BSB,Indicação,0,2155,7,1699.32,242.76,119.8,0,0,1,2,2,2,Cartão,188,0.0,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.4129134833019503,0.16945725791383215,Muito Baixo
33,34,M,BH,Facebook,1,2104,8,1461.57,182.7,72.23,0,2,1,1,1,3,Cartão,231,0.25,0.125,0.125,0.125,0.375,1.063351842969461,0.7070882410406909,Alto
34,22,M,SP,Orgânico,0,2042,16,1760.26,110.02,73.45,0,2,6,3,2,3,Cartão,298,0.125,0.375,0.1875,0.125,0.1875,0.6403391886343739,0.0685806022466746,Muito Baixo
35,44,F,SP,Orgânico,1,2257,8,1595.07,199.38,140.57,0,0,2,1,3,2,Boleto,85,0.0,0.25,0.125,0.375,0.25,1.1604328979269358,0.5762240096940351,Médio
36,20,F,BH,Google,0,2262,4,438.52,109.63,108.57,0,2,1,1,0,0,Cartão,81,0.5,0.25,0.25,0.0,0.0,0.6380693078529941,0.3193510047270596,Baixo
37,37,F,RJ,Orgânico,1,2040,4,773.68,193.42,167.85,0,0,1,1,0,2,Cartão,299,0.0,0.25,0.25,0.0,0.5,1.1257444634217468,0.5553783163367837,Médio
38,11,M,POA,Facebook,1,2220,8,1224.94,153.12,117.04,0,0,2,2,2,2,Cartão,120,0.0,0.25,0.25,0.25,0.25,0.8911901160125008,0.5299099900186837,Médio
39,19,F,BH,Google,0,2094,10,1686.47,168.65,132.93,0,3,3,1,0,3,Cartão,239,0.3,0.3,0.1,0.0,0.3,0.9815779327684708,0.07009889749937873,Muito Baixo
40,37,M,SP,Indicação,0,1887,9,851.73,94.64,60.41,0,0,1,0,3,5,Cartão,412,0.0,0.1111111111111111,0.0,0.3333333333333333,0.5555555555555556,0.5508244029481653,0.09326330224685472,Muito Baixo
41,43,F,BSB,Indicação,0,2093,9,2328.17,258.69,157.07,0,1,2,3,0,3,Cartão,249,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.3333333333333333,1.505629382910618,0.0807467613541143,Muito Baixo
42,37,M,SP,Google,0,1968,9,1488.53,165.39,110.83,0,1,2,2,2,2,Cartão,347,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.9626040575189884,0.08584706656673748,Muito Baixo
43,33,F,SP,Indicação,0,2035,9,1354.29,150.48,64.53,0,2,2,2,1,2,Cartão,299,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.875824769184699,0.039563764020503565,Muito Baixo
44,31,F,BH,Indicação,0,2137,7,1103.89,157.7,109.22,0,2,2,1,1,1,Boleto,179,0.2857142857142857,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.917846664675884,0.3012739636470446,Baixo
45,17,M,BSB,Google,0,2051,13,1726.04,132.77,58.55,0,3,2,4,0,4,Cartão,285,0.2307692307692307,0.1538461538461538,0.3076923076923077,0.0,0.3076923076923077,0.7727489008815291,0.1449951644180624,Muito Baixo
46,26,F,RJ,Facebook,0,2262,3,614.31,204.77,44.66,0,0,0,1,1,1,Cartão,67,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.191803814367031,0.3531796086054582,Baixo
47,29,F,SP,Indicação,0,2028,11,1948.54,177.14,88.19,0,2,3,2,0,4,Cartão,309,0.1818181818181818,0.2727272727272727,0.1818181818181818,0.0,0.3636363636363636,1.0309914913169695,0.056565501357307375,Muito Baixo
48,47,F,SP,Google,0,2248,7,945.28,135.04,78.38,0,1,1,2,1,2,Cartão,88,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.2857142857142857,0.7859607710705858,0.3566592909287611,Baixo
49,39,F,SP,Orgânico,0,2194,7,1431.43,204.49,107.74,0,1,1,2,1,2,Cartão,123,0.1428571428571428,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.2857142857142857,1.190174156370143,0.24045228349389802,Baixo
50,13,F,SP,Google,0,2239,8,1321.15,165.14,118.37,0,1,3,1,2,1,Cartão,92,0.125,0.375,0.125,0.25,0.125,0.9611490057360526,0.32678469814606587,Baixo
51,38,M,SP,Google,0,2136,7,1221.69,174.53,100.25,0,2,0,3,0,2,Cartão,197,0.2857142857142857,0.0,0.4285714285714285,0.0,0.2857142857142857,1.01580075070312,0.30999803404067217,Baixo
52,30,M,RJ,Google,0,2210,5,1135.32,227.06,170.59,0,3,0,1,0,1,Boleto,124,0.6,0.0,0.2,0.0,0.2,1.3215362313335843,0.3511841565673701,Baixo
53,26,F,POA,Indicação,1,2126,3,171.35,57.12,27.6,0,0,1,1,1,0,Pix,198,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3324502313651648,0.4429300865500814,Médio
54,42,F,SP,Indicação,0,2025,9,1650.12,183.35,152.59,0,2,2,1,1,3,Cartão,315,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,1.067134977605094,0.03734732918466547,Muito Baixo
55,47,M,SP,Facebook,0,2021,10,1856.92,185.69,143.32,0,1,2,0,5,2,Cartão,317,0.1,0.2,0.0,0.5,0.2,1.080754262293373,0.12116276693403413,Muito Baixo
56,46,M,BSB,Google,0,1739,6,1017.89,169.65,108.09,0,1,0,1,0,4,Cartão,568,0.1666666666666666,0.0,0.1666666666666666,0.0,0.6666666666666666,0.987398139900214,0.3302073104741858,Baixo
57,24,F,BH,Orgânico,0,2191,7,615.64,87.95,51.03,0,1,2,2,0,2,Cartão,143,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.5118872172368041,0.30048303614177285,Baixo
58,31,M,POA,Google,0,2153,4,271.87,67.97,64.96,0,1,0,1,1,1,Boleto,145,0.25,0.0,0.25,0.25,0.25,0.3955994787445773,0.38932091515150935,Baixo
59,38,F,SP,Google,0,2079,9,1458.91,162.1,84.2,0,1,4,3,0,1,Cartão,252,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.1111111111111111,0.9434555760555536,0.10876571619497191,Muito Baixo
60,46,F,SP,Google,0,1850,8,1013.63,126.7,70.8,0,2,3,0,0,3,Cartão,485,0.25,0.375,0.0,0.0,0.375,0.7374202435918485,0.26410118919233144,Baixo
61,29,F,RJ,Google,0,2150,6,544.99,90.83,89.84,0,2,2,2,0,0,Cartão,169,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.5286494137762241,0.34077331141836953,Baixo
62,32,F,RJ,Facebook,1,2142,12,2471.22,205.94,114.14,0,2,3,1,3,3,Cartão,197,0.1666666666666666,0.25,0.0833333333333333,0.25,0.25,1.1986134567111704,0.28919072607675556,Baixo
63,21,M,RJ,Google,0,2000,12,1616.43,134.7,105.46,0,2,2,2,2,4,Cartão,326,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.7839819006457931,0.10566614908231017,Muito Baixo
64,20,M,RJ,Google,0,2190,10,1275.66,127.57,120.6,0,1,2,2,1,4,Cartão,145,0.1,0.2,0.2,0.1,0.4,0.7424838237964649,0.18434848698186296,Muito Baixo
65,44,M,SP,Orgânico,0,2270,3,384.8,128.27,25.96,0,0,0,0,0,3,Cartão,68,0.0,0.0,0.0,0.0,1.0,0.7465579687886852,0.29863752358157164,Baixo
66,51,F,RJ,Google,0,2179,5,587.9,117.58,77.11,0,1,1,2,0,1,Cartão,147,0.2,0.2,0.4,0.0,0.2,0.6843399545503516,0.3614265537454386,Baixo
67,34,M,RJ,Orgânico,0,2139,6,749.72,124.95,71.66,0,1,1,2,1,1,Cartão,191,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.7272348811112982,0.45060813483390993,Médio
68,47,F,RJ,Indicação,0,2180,11,3176.56,288.78,284.52,0,1,2,3,2,3,Cartão,154,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.1818181818181818,0.2727272727272727,1.6807594155047672,0.060485169982635416,Muito Baixo
69,39,F,RJ,Facebook,1,2110,6,746.04,124.34,102.15,0,1,1,1,1,2,Cartão,189,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.7236845547609349,0.5810791685955653,Médio
70,27,M,RJ,Indicação,0,2185,6,1306.66,217.78,168.7,0,1,0,0,2,3,Cartão,133,0.1666666666666666,0.0,0.0,0.3333333333333333,0.5,1.2675247091510085,0.13218865194341015,Muito Baixo
71,39,F,SP,Facebook,1,2082,6,987.67,164.61,102.52,0,0,1,4,0,1,Cartão,213,0.0,0.1666666666666666,0.6666666666666666,0.0,0.1666666666666666,0.9580642959562288,0.5720328150809758,Médio
72,53,F,SP,Google,0,2090,7,1338.3,191.19,122.25,0,1,2,1,1,2,Cartão,229,0.1428571428571428,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.2857142857142857,1.11276540151796,0.20789404185217294,Baixo
73,34,F,RJ,Orgânico,0,2020,9,1050.09,116.68,71.24,0,2,2,1,1,3,Cartão,290,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.6791017681317829,0.16340654891672166,Muito Baixo
74,53,M,SP,Indicação,1,1838,4,1002.96,250.74,141.05,0,2,1,1,0,0,Boleto,478,0.5,0.25,0.25,0.0,0.0,1.4593587362132605,0.41444391006294856,Médio
75,3,F,RJ,Orgânico,0,2055,9,1121.94,124.66,84.32,0,2,1,3,3,0,Cartão,279,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.7255470210430927,0.20869430633334823,Baixo
76,44,M,BSB,Orgânico,0,2196,3,770.03,256.68,359.07,0,1,0,0,0,2,Cartão,108,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,1.4939307665758144,0.4366482316754403,Médio
77,36,F,SP,Google,0,1938,7,988.99,141.28,112.44,0,0,3,1,0,3,Cartão,393,0.0,0.4285714285714285,0.1428571428571428,0.0,0.4285714285714285,0.8222788635726627,0.2734520090809668,Baixo
78,31,M,SP,Google,0,2224,7,1355.45,193.64,148.79,0,0,0,3,0,4,Cartão,109,0.0,0.0,0.4285714285714285,0.0,0.5714285714285714,1.1270249089907305,0.165141227673507,Muito Baixo
79,36,F,POA,Google,0,1994,5,716.52,143.3,90.97,0,1,1,0,1,2,Cartão,321,0.2,0.2,0.0,0.2,0.4,0.8340356819787837,0.40662007304385145,Médio
80,11,M,SP,Orgânico,1,2061,10,1338.74,133.87,95.98,0,2,1,3,1,3,Cartão,256,0.2,0.1,0.3,0.1,0.3,0.7791511287264464,0.3680715654128138,Baixo
81,32,M,SP,Orgânico,0,2230,8,1431.75,178.97,137.95,0,2,3,2,0,1,Cartão,102,0.25,0.375,0.25,0.0,0.125,1.0416424703680591,0.16475942847359387,Muito Baixo
82,39,F,SP,Indicação,0,1927,14,2402.07,171.58,106.31,0,1,1,8,0,4,Cartão,409,0.0714285714285714,0.0714285714285714,0.5714285714285714,0.0,0.2857142857142857,0.998631139664478,0.08879291993893226,Muito Baixo
83,52,F,BH,Google,0,2294,2,914.17,457.08,528.85,0,0,0,0,1,1,Boleto,33,0.0,0.0,0.0,0.5,0.5,2.660300275777128,0.36795698902656293,Baixo
84,28,F,SP,Google,0,2143,14,1963.98,140.28,128.19,0,3,2,5,1,3,Cartão,192,0.2142857142857142,0.1428571428571428,0.3571428571428571,0.0714285714285714,0.2142857142857142,0.8164586564409196,0.14517708859826087,Muito Baixo
85,25,F,RJ,Orgânico,0,2143,6,858.76,143.13,92.8,0,2,1,1,2,0,Boleto,167,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.8330462467663874,0.25126437117950307,Baixo
86,28,M,RJ,Orgânico,0,2096,6,1039.89,173.31,82.3,0,1,1,1,2,1,Cartão,239,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,1.0087000980023937,0.5360297566657873,Médio
87,45,F,SP,Google,1,2192,6,999.8,166.63,100.02,0,1,1,1,0,3,Cartão,125,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.5,0.9698211143623496,0.5277723593068934,Médio
88,38,M,SP,Google,0,2131,8,1337.15,167.14,114.26,0,1,0,2,0,5,Cartão,192,0.125,0.0,0.25,0.0,0.625,0.9727894199995388,0.21947461244672814,Baixo
89,28,F,BH,Facebook,0,2169,4,699.49,174.87,66.0,0,0,2,1,1,0,Cartão,118,0.0,0.5,0.25,0.25,0.0,1.0177796211279129,0.40039444206939684,Médio
90,41,M,RJ,Google,0,2044,6,801.21,133.54,28.8,0,1,1,3,0,1,Cartão,280,0.1666666666666666,0.1666666666666666,0.5,0.0,0.1666666666666666,0.7772304603729712,0.3965811501333286,Baixo
91,36,M,SP,Orgânico,0,2085,5,1042.83,208.57,126.91,0,0,1,3,0,1,Cartão,241,0.0,0.2,0.6,0.0,0.2,1.213920601467655,0.2994539197297252,Baixo
92,46,M,SP,Facebook,0,2050,10,1885.01,188.5,124.72,0,4,0,2,3,1,Cartão,285,0.4,0.0,0.2,0.3,0.1,1.097109044333571,0.17180828543610224,Muito Baixo
