id_cliente,idade,genero,cidade,canal_aquisicao,churn
1,40,F,RJ,Google,0
2,33,F,RJ,Google,0
3,42,M,SP,Indicação,0
4,53,M,BH,Orgânico,1
5,32,M,BH,Orgânico,1
6,32,F,SP,Indicação,0
7,53,F,RJ,Orgânico,1
8,44,M,RJ,Google,1
9,29,F,RJ,Google,0
10,41,M,SP,Facebook,0
11,29,M,RJ,Facebook,0
12,29,F,SP,Facebook,0
13,37,F,RJ,Google,1
14,12,F,BH,Google,1
15,14,F,BH,Indicação,0
16,28,M,SP,Orgânico,0
17,22,F,RJ,Facebook,1
18,38,F,POA,Google,0
19,24,F,SP,Orgânico,0
20,18,F,BSB,Google,0
21,52,M,BH,Google,0
22,32,M,BH,Facebook,0
23,35,F,SP,Orgânico,0
24,17,F,SP,Orgânico,0
25,28,M,POA,Indicação,0
26,36,M,SP,Facebook,0
27,21,F,SP,Facebook,0
28,39,M,RJ,Google,1
29,27,M,SP,Orgânico,1
30,31,M,BH,Indicação,0
31,27,M,RJ,Google,0
32,57,F,BSB,Indicação,0
33,34,M,BH,Facebook,1
34,22,M,SP,Orgânico,0
35,44,F,SP,Orgânico,1
36,20,F,BH,Google,0
37,37,F,RJ,Orgânico,1
38,11,M,POA,Facebook,1
39,19,F,BH,Google,0
40,37,M,SP,Indicação,0
41,43,F,BSB,Indicação,0
42,37,M,SP,Google,0
43,33,F,SP,Indicação,0
44,31,F,BH,Indicação,0
45,17,M,BSB,Google,0
46,26,F,RJ,Facebook,0
47,29,F,SP,Indicação,0
48,47,F,SP,Google,0
49,39,F,SP,Orgânico,0
50,13,F,SP,Google,0
51,38,M,SP,Google,0
52,30,M,RJ,Google,0
53,26,F,POA,Indicação,1
54,42,F,SP,Indicação,0
55,47,M,SP,Facebook,0
56,46,M,BSB,Google,0
57,24,F,BH,Orgânico,0
58,31,M,POA,Google,0
59,38,F,SP,Google,0
60,46,F,SP,Google,0
61,29,F,RJ,Google,0
62,32,F,RJ,Facebook,1
63,21,M,RJ,Google,0
64,20,M,RJ,Google,0
65,44,M,SP,Orgânico,0
66,51,F,RJ,Google,0
67,34,M,RJ,Orgânico,0
68,47,F,RJ,Indicação,0
69,39,F,RJ,Facebook,1
70,27,M,RJ,Indicação,0
71,39,F,SP,Facebook,1
72,53,F,SP,Google,0
73,34,F,RJ,Orgânico,0
74,53,M,SP,Indicação,1
75,3,F,RJ,Orgânico,0
76,44,M,BSB,Orgânico,0
77,36,F,SP,Google,0
78,31,M,SP,Google,0
79,36,F,POA,Google,0
80,11,M,SP,Orgânico,1
81,32,M,SP,Orgânico,0
82,39,F,SP,Indicação,0
83,52,F,BH,Google,0
84,28,F,SP,Google,0
85,25,F,RJ,Orgânico,0
86,28,M,RJ,Orgânico,0
87,45,F,SP,Google,1
88,38,M,SP,Google,0
89,28,F,BH,Facebook,0
90,41,M,RJ,Google,0
91,36,M,SP,Orgânico,0
92,46,M,SP,Facebook,0
93,26,F,RJ,Indicação,0
94,31,F,BSB,Facebook,1
95,30,M,SP,Facebook,0
96,17,M,RJ,Google,0
97,38,M,SP,Orgânico,0
98,38,M,SP,Indicação,0
99,35,M,SP,Facebook,1
