id_cliente,idade,genero,cidade,canal_aquisicao,churn,recencia_dias,frequencia_compras,valor_total,ticket_medio,std_valor,cliente_sem_compra,compras_beleza,compras_casa,compras_eletrônicos,compras_esportes,compras_moda,metodo_preferido,dias_entre_compras,prop_compras_eletrônicos,prop_compras_moda,prop_compras_casa,prop_compras_esportes,prop_compras_beleza,ticket_medio_relativo
1,40,F,RJ,Google,0,2057,7,2013.71,287.67,119.37,0,1,1,1,3,1,Cartão,244,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.14285714285714285,1.6742989855885326
2,33,F,RJ,Google,0,2125,4,368.54,92.14,71.5,0,3,0,0,0,1,Cartão,211,0.0,0.25,0.0,0.0,0.75,0.5362738851188076
3,42,M,SP,Indicação,0,2038,10,2396.42,239.64,205.7,0,1,2,2,1,4,Cartão,298,0.2,0.4,0.2,0.1,0.1,1.3947544370509122
4,53,M,BH,Orgânico,1,2127,5,959.47,191.89,151.75,0,0,3,0,0,2,Boleto,218,0.0,0.4,0.6,0.0,0.0,1.11683954651018
5,32,M,BH,Orgânico,1,1970,2,438.31,219.16,63.51,0,0,1,1,0,0,Cartão,347,0.5,0.0,0.5,0.0,0.0,1.2755565949928138
6,32,F,SP,Indicação,0,1924,10,1371.8,137.18,91.81,0,3,1,1,1,4,Cartão,417,0.1,0.4,0.1,0.1,0.3,0.7984160143325161
7,53,F,RJ,Orgânico,1,2150,6,1038.79,173.13,83.49,0,0,2,2,1,1,Cartão,163,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,1.0076524607186799
8,44,M,RJ,Google,1,2259,2,286.44,143.22,52.45,0,1,0,0,0,1,Boleto,32,0.0,0.5,0.0,0.0,0.5,0.8335700654082442
9,29,F,RJ,Google,0,2172,12,1288.49,107.37,120.74,0,1,2,5,2,2,Cartão,165,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.6249156397352548
10,41,M,SP,Facebook,0,2095,8,1328.31,166.04,85.41,0,2,1,2,0,3,Cartão,246,0.25,0.375,0.125,0.0,0.25,0.9663871921546213
11,29,M,RJ,Facebook,0,2162,9,1360.65,151.18,81.98,0,1,1,3,0,4,Cartão,174,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.8798989141769192
12,29,F,SP,Facebook,0,2210,5,460.6,92.12,62.36,0,1,1,3,0,0,Cartão,125,0.6,0.0,0.2,0.0,0.2,0.5361574809761728
13,37,F,RJ,Google,1,2231,5,645.79,129.16,63.5,0,0,1,2,0,2,Cartão,102,0.4,0.4,0.2,0.0,0.0,0.7517379531359365
14,12,F,BH,Google,1,1910,10,1532.02,153.2,69.1,0,2,0,4,1,3,Cartão,432,0.4,0.3,0.0,0.1,0.2,0.8916557325830401
15,14,F,BH,Indicação,0,2124,16,2933.47,183.34,124.88,0,2,5,4,2,3,Cartão,217,0.25,0.1875,0.3125,0.125,0.125,1.0670767755337767
16,28,M,SP,Orgânico,0,2228,6,680.68,113.45,61.32,0,0,1,3,1,1,Pix,117,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.6603024990962527
17,22,F,RJ,Facebook,1,2046,4,682.98,170.74,56.85,0,1,0,2,0,1,Cartão,269,0.5,0.25,0.0,0.0,0.25,0.9937421656738139
18,38,F,POA,Google,0,2052,6,915.94,152.66,138.44,0,0,4,1,0,1,Cartão,281,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.0,0.888512820731899
19,24,F,SP,Orgânico,0,2052,7,1506.36,215.19,95.4,0,0,1,2,1,3,Cartão,259,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,1.2524503726797938
20,18,F,BSB,Google,0,2078,6,715.67,119.28,82.72,0,0,1,1,2,2,Cartão,257,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.6942343066743148
21,52,M,BH,Google,0,2293,1,162.64,162.64,0.0,0,0,0,0,0,1,Boleto,0,0.0,1.0,0.0,0.0,0.0,0.9465984879066949
22,32,M,BH,Facebook,0,2122,7,903.94,129.13,125.8,0,1,1,2,1,2,Cartão,219,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7515633469219842
23,35,F,SP,Orgânico,0,2151,6,983.59,163.93,102.56,0,0,1,0,2,3,Cartão,194,0.0,0.5,0.16666666666666666,0.3333333333333333,0.0,0.9541065551066436
24,17,F,SP,Orgânico,0,2098,7,1337.62,191.09,100.0,0,0,1,2,3,1,Cartão,207,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,1.1121833808047856
25,28,M,POA,Indicação,0,2120,8,1107.66,138.46,127.4,0,2,2,3,0,1,Cartão,173,0.375,0.125,0.25,0.0,0.25,0.8058658794611472
26,36,M,SP,Facebook,0,2026,6,1257.22,209.54,84.62,0,1,1,2,0,2,Cartão,307,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,1.2195662023854454
27,21,F,SP,Facebook,0,1859,9,1055.32,117.26,85.32,0,2,2,0,2,3,Cartão,424,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.6824774882681939
28,39,M,RJ,Google,1,2255,3,143.01,47.67,43.46,0,0,2,0,1,0,Cartão,54,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.27744927397019276
29,27,M,SP,Orgânico,1,2171,5,517.26,103.45,45.0,0,0,1,3,0,1,Boleto,171,0.6,0.2,0.2,0.0,0.0,0.6021004277788219
30,31,M,BH,Indicação,0,2105,3,546.14,182.05,92.43,0,2,0,0,1,0,Cartão,236,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,1.059568708333828
31,27,M,RJ,Google,0,2238,6,717.36,119.56,183.16,0,0,1,2,0,3,Boleto,70,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.6958639646712029
32,57,F,BSB,Indicação,0,2155,7,1699.32,242.76,119.8,0,0,1,2,2,2,Cartão,188,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,1.4129134833019505
33,34,M,BH,Facebook,1,2104,8,1461.57,182.7,72.23,0,2,1,1,1,3,Cartão,231,0.125,0.375,0.125,0.125,0.25,1.063351842969461
34,22,M,SP,Orgânico,0,2042,16,1760.26,110.02,73.45,0,2,6,3,2,3,Cartão,298,0.1875,0.1875,0.375,0.125,0.125,0.6403391886343739
